Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QA","Live Animals","5100","Africa","5111","Stocks","1107","Asses","2014","2014","Head","18946358","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5100","Africa","5114","Stocks","1181","Beehives","2014","2014","No","16801011","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5100","Africa","5111","Stocks","946","Buffaloes","2014","2014","Head","3949287","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5100","Africa","5111","Stocks","1126","Camels","2014","2014","Head","23533724","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5100","Africa","5111","Stocks","866","Cattle","2014","2014","Head","312327289","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5100","Africa","5112","Stocks","1057","Chickens","2014","2014","1000 Head","1809059","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5100","Africa","5112","Stocks","1068","Ducks","2014","2014","1000 Head","28539","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5100","Africa","5112","Stocks","1072","Geese and guinea fowls","2014","2014","1000 Head","25296","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5100","Africa","5111","Stocks","1016","Goats","2014","2014","Head","374380445","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5100","Africa","5111","Stocks","1096","Horses","2014","2014","Head","6058131","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5100","Africa","5111","Stocks","1110","Mules","2014","2014","Head","1023087","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5100","Africa","5112","Stocks","1083","Pigeons, other birds","2014","2014","1000 Head","13384","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5100","Africa","5111","Stocks","1034","Pigs","2014","2014","Head","34332061","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5100","Africa","5112","Stocks","1140","Rabbits and hares","2014","2014","1000 Head","19108","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5100","Africa","5111","Stocks","976","Sheep","2014","2014","Head","340749117","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5100","Africa","5112","Stocks","1079","Turkeys","2014","2014","1000 Head","23658","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5203","Northern America","5111","Stocks","1171","Animals live nes","2014","2014","Head","3100","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5203","Northern America","5111","Stocks","1107","Asses","2014","2014","Head","52006","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5203","Northern America","5114","Stocks","1181","Beehives","2014","2014","No","3434232","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5203","Northern America","5111","Stocks","866","Cattle","2014","2014","Head","100746715","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5203","Northern America","5112","Stocks","1057","Chickens","2014","2014","1000 Head","2149990","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5203","Northern America","5112","Stocks","1068","Ducks","2014","2014","1000 Head","9251","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5203","Northern America","5112","Stocks","1072","Geese and guinea fowls","2014","2014","1000 Head","350","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5203","Northern America","5111","Stocks","1016","Goats","2014","2014","Head","2641350","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5203","Northern America","5111","Stocks","1096","Horses","2014","2014","Head","10669150","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5203","Northern America","5111","Stocks","1110","Mules","2014","2014","Head","4001","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5203","Northern America","5111","Stocks","1034","Pigs","2014","2014","Head","80831900","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5203","Northern America","5111","Stocks","976","Sheep","2014","2014","Head","6139950","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5203","Northern America","5112","Stocks","1079","Turkeys","2014","2014","1000 Head","243200","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5204","Central America","5111","Stocks","1107","Asses","2014","2014","Head","3334410","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5204","Central America","5114","Stocks","1181","Beehives","2014","2014","No","2359712","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5204","Central America","5111","Stocks","866","Cattle","2014","2014","Head","46989179","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5204","Central America","5112","Stocks","1057","Chickens","2014","2014","1000 Head","692829","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5204","Central America","5112","Stocks","1068","Ducks","2014","2014","1000 Head","8482","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5204","Central America","5111","Stocks","1016","Goats","2014","2014","Head","8862609","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5204","Central America","5111","Stocks","1096","Horses","2014","2014","Head","7281450","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5204","Central America","5111","Stocks","1110","Mules","2014","2014","Head","3479110","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5204","Central America","5111","Stocks","1034","Pigs","2014","2014","Head","21119580","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5204","Central America","5112","Stocks","1140","Rabbits and hares","2014","2014","1000 Head","1371","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5204","Central America","5111","Stocks","976","Sheep","2014","2014","Head","9199068","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5204","Central America","5112","Stocks","1079","Turkeys","2014","2014","1000 Head","3986","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5207","South America","5111","Stocks","1107","Asses","2014","2014","Head","2997610","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5207","South America","5114","Stocks","1181","Beehives","2014","2014","No","5226740","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5207","South America","5111","Stocks","946","Buffaloes","2014","2014","Head","1320295","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5207","South America","5111","Stocks","1157","Camelids, other","2014","2014","Head","8894140","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5207","South America","5111","Stocks","866","Cattle","2014","2014","Head","351850974","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5207","South America","5112","Stocks","1057","Chickens","2014","2014","1000 Head","2315147","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5207","South America","5112","Stocks","1068","Ducks","2014","2014","1000 Head","9666","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5207","South America","5112","Stocks","1072","Geese and guinea fowls","2014","2014","1000 Head","391","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5207","South America","5111","Stocks","1016","Goats","2014","2014","Head","20651432","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5207","South America","5111","Stocks","1096","Horses","2014","2014","Head","12906208","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5207","South America","5111","Stocks","1110","Mules","2014","2014","Head","2190617","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5207","South America","5111","Stocks","1034","Pigs","2014","2014","Head","64326473","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5207","South America","5112","Stocks","1140","Rabbits and hares","2014","2014","1000 Head","4304","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5207","South America","5112","Stocks","1150","Rodents, other","2014","2014","1000 Head","18925","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5207","South America","5111","Stocks","976","Sheep","2014","2014","Head","68019357","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5207","South America","5112","Stocks","1079","Turkeys","2014","2014","1000 Head","65011","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5300","Asia","5111","Stocks","1171","Animals live nes","2014","2014","Head","2528133","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5300","Asia","5111","Stocks","1107","Asses","2014","2014","Head","16490197","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5300","Asia","5114","Stocks","1181","Beehives","2014","2014","No","36544136","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5300","Asia","5111","Stocks","946","Buffaloes","2014","2014","Head","188792665","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5300","Asia","5111","Stocks","1126","Camels","2014","2014","Head","4194792","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5300","Asia","5111","Stocks","866","Cattle","2014","2014","Head","491019874","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5300","Asia","5112","Stocks","1057","Chickens","2014","2014","1000 Head","11923472","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5300","Asia","5112","Stocks","1068","Ducks","2014","2014","1000 Head","986528","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5300","Asia","5112","Stocks","1072","Geese and guinea fowls","2014","2014","1000 Head","281715","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5300","Asia","5111","Stocks","1016","Goats","2014","2014","Head","580703222","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5300","Asia","5111","Stocks","1096","Horses","2014","2014","Head","14316963","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5300","Asia","5111","Stocks","1110","Mules","2014","2014","Head","2960413","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5300","Asia","5112","Stocks","1083","Pigeons, other birds","2014","2014","1000 Head","16091","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5300","Asia","5111","Stocks","1034","Pigs","2014","2014","Head","590547756","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5300","Asia","5112","Stocks","1140","Rabbits and hares","2014","2014","1000 Head","636963","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5300","Asia","5111","Stocks","976","Sheep","2014","2014","Head","536250670","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5300","Asia","5112","Stocks","1079","Turkeys","2014","2014","1000 Head","14575","A","Aggregate, may include official, semi-official, estimated or calculated data"
