Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QA","Live Animals","5100","Africa","5111","Stocks","1107","Asses","2014","2014","Head","18946358","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5100","Africa","5111","Stocks","946","Buffaloes","2014","2014","Head","3949287","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5100","Africa","5111","Stocks","1126","Camels","2014","2014","Head","23533724","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5100","Africa","5111","Stocks","866","Cattle","2014","2014","Head","312327289","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5100","Africa","5111","Stocks","1016","Goats","2014","2014","Head","374380445","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5100","Africa","5111","Stocks","1096","Horses","2014","2014","Head","6058131","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5100","Africa","5111","Stocks","1110","Mules","2014","2014","Head","1023087","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5100","Africa","5111","Stocks","1034","Pigs","2014","2014","Head","34332061","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5100","Africa","5111","Stocks","976","Sheep","2014","2014","Head","340749117","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5200","Americas","5111","Stocks","1107","Asses","2014","2014","Head","6801642","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5200","Americas","5111","Stocks","946","Buffaloes","2014","2014","Head","1326495","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5200","Americas","5111","Stocks","1157","Camelids, other","2014","2014","Head","8894140","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5200","Americas","5111","Stocks","866","Cattle","2014","2014","Head","508942003","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5200","Americas","5111","Stocks","1016","Goats","2014","2014","Head","35640927","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5200","Americas","5111","Stocks","1096","Horses","2014","2014","Head","32501406","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5200","Americas","5111","Stocks","1110","Mules","2014","2014","Head","5937682","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5200","Americas","5111","Stocks","1034","Pigs","2014","2014","Head","169902095","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5200","Americas","5111","Stocks","976","Sheep","2014","2014","Head","86074410","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5203","Northern America","5111","Stocks","1107","Asses","2014","2014","Head","52006","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5203","Northern America","5111","Stocks","866","Cattle","2014","2014","Head","100746715","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5203","Northern America","5111","Stocks","1016","Goats","2014","2014","Head","2641350","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5203","Northern America","5111","Stocks","1096","Horses","2014","2014","Head","10669150","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5203","Northern America","5111","Stocks","1110","Mules","2014","2014","Head","4001","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5203","Northern America","5111","Stocks","1034","Pigs","2014","2014","Head","80831900","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5203","Northern America","5111","Stocks","976","Sheep","2014","2014","Head","6139950","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5300","Asia","5111","Stocks","1107","Asses","2014","2014","Head","16490197","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5300","Asia","5111","Stocks","946","Buffaloes","2014","2014","Head","188792665","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5300","Asia","5111","Stocks","1126","Camels","2014","2014","Head","4194792","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5300","Asia","5111","Stocks","866","Cattle","2014","2014","Head","491019874","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5300","Asia","5111","Stocks","1016","Goats","2014","2014","Head","580703222","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5300","Asia","5111","Stocks","1096","Horses","2014","2014","Head","14316963","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QA","Live Animals","5300","Asia","5111","Stocks","1110","Mules","2014","2014","Head","2960413","A","Aggregate, may include official, semi-official, estimated or calculated data"
