Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QA,Live Animals,5000,World,5112,Stocks,1057,Chickens,2014,2014,Head,2.14E+10,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5000,World,5111,Stocks,866,Cattle,2014,2014,Head,1.47E+09,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5000,World,5111,Stocks,976,Sheep,2014,2014,Head,1.20E+09,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5000,World,5112,Stocks,1068,Ducks,2014,2014,Head,1.13E+09,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5000,World,5111,Stocks,1016,Goats,2014,2014,Head,1.01E+09,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5000,World,5111,Stocks,1034,Pigs,2014,2014,Head,9.86E+08,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5000,World,5112,Stocks,1140,Rabbits and hares,2014,2014,Head,7.69E+08,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5000,World,5112,Stocks,1079,Turkeys,2014,2014,Head,4.63E+08,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5000,World,5112,Stocks,1072,Geese and guinea fowls,2014,2014,Head,3.27E+08,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5000,World,5111,Stocks,946,Buffaloes,2014,2014,Head,1.94E+08,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5000,World,5111,Stocks,1096,Horses,2014,2014,Head,5.88E+07,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5000,World,5111,Stocks,1107,Asses,2014,2014,Head,4.28E+07,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5000,World,5112,Stocks,1083,"Pigeons, other birds",2014,2014,Head,3.23E+07,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5000,World,5111,Stocks,1126,Camels,2014,2014,Head,2.77E+07,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5000,World,5112,Stocks,1150,"Rodents, other",2014,2014,Head,1.89E+07,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5000,World,5111,Stocks,1110,Mules,2014,2014,Head,1.02E+07,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QA,Live Animals,5000,World,5111,Stocks,1157,"Camelids, other",2014,2014,Head,8.89E+06,A,"Aggregate, may include official, semi-official, estimated or calculated data"
