Remarks,Taken from figure S3 in Gleeson et al.
Porosity,Depth [m]
0.043199939,1983.9278183189
0.0451815953,1913.8522882667
0.0464706129,1831.548813373
0.047702942,1768.0575613123
0.0501212858,1692.808669981
0.0518515855,1619.9113065038
0.0542060774,1540.7432020823
0.0563094598,1459.5371068539
0.0591621941,1371.8251178959
0.0610156896,1292.4610528199
0.0634990586,1224.8546270145
0.0659815014,1154.3087913914
0.0684648704,1086.7023655859
0.0714474698,1013.687425716
0.0740568506,948.5501041573
0.076667417,887.1752271653
0.0802786425,821.9595213448
0.0840140396,753.3732922668
0.0877504247,687.9224336609
0.090863729,632.2696077805
0.0952254179,564.0753000115
0.100091895,508.1089370839
0.1052037262,435.9170319629
0.1101951035,378.8924815009
0.1158136865,325.1600700346
0.1226841988,270.1343182486
0.1301815464,217.2249415313
0.1376798821,167.4509352861
0.1458036274,115.2694124284
0.1551790038,60.8483392335
0.1651836186,16.1693100055
