Remarks,Based on Figure 1 from McMahon & Parnell
Cell concentration [cells mL-1],Depth [m]
137466.89823471,9.3457943925
175377.020533175,14.0186915888
335784.105471689,14.0186915888
2555890.32642054,37.3831775701
169756.777566842,37.3831775701
199686.628462657,37.3831775701
6020632.8737224,103.5674983164
133744.26782576,107.7230097071
465471.129141885,107.8603819845
605164.382102935,132.926582721
195677.776281148,147.2213553501
3722815.5834141,163.2557528374
2898158.56811625,189.1962178824
2140513.45370505,189.5110293514
85563.4886477844,189.6999162328
546109.462370845,210.2803738318
48651.0270937276,214.1712610891
140892.212348551,217.2774009165
305673.113593243,218.9315920899
846540.101048009,233.6448598131
389157.744787645,238.4327316328
206102.197637549,247.6635514019
520025.069372436,266.3551401869
5006154.5767093,285.3711216596
206833.00679025,287.2914716204
832683.597814232,299.0654205607
250390.72224032,299.0654205607
223483.102125824,303.738317757
273894.501908558,311.7208416142
357670.500772014,326.1322110837
83298.3836020584,331.176190398
3567.2477958287,334.3872673817
671611.564506784,340.0195307542
1646355.18531743,383.1775700935
46129.9408533715,386.687946097
76496.9062095175,392.523364486
413077.639767321,419.7641377724
1728214.75632032,429.9065420561
3006.0959734917,455.9464692753
76476.5929352865,457.9439252336
101372.167983214,465.2858761888
309017.865833482,476.6355140187
1195988.22912347,479.4523922934
120224.569160451,488.8967363632
310150.965463974,517.0470779803
394155.43469495,532.7102803738
410131.832669369,565.8681405318
656459.273672132,571.613449841
1179899.464002,581.9235254505
253943.536675099,617.5115310588
329555.603488901,626.1682242991
4159569.01498851,647.5617167354
152169.107632029,652.8505494145
333476.33008364,691.9571296737
59900.8096239255,712.8326279731
515673.308778364,747.671763875
30255.728684679,803.9180796683
325628.332335439,809.532217532
10724.5793343321,820.5821000936
3560.0173700102,834.1819555541
19615.5450284871,841.5305547017
15284.8099689052,851.0444026023
215837.538208204,878.5046728972
85324.4779742206,878.7592595634
284225.001677842,892.963086657
611167.037429907,935.3308805414
20395.5466642312,937.2455066573
60802.9485796314,953.2710280374
417613.202909257,963.5424854698
208242.554403392,985.6692344333
60811.2219642811,1000.7661933241
326213.009458731,1014.3800404054
72835.8830268315,1056.5018149566
183347.142188019,1089.6649545616
237326.067061568,1119.778920224
31422.006069124,1188.1559712892
184864.437306085,1215.3556822101
1294.160253096,1275.7009345794
752943.438502478,1285.5271586486
120083.155806238,1313.0841121495
2995.6032098221,1317.2706484386
1192.8760248795,1350.4672897196
79287.1719059459,1401.2203735033
1047.3022592302,1494.8243169504
58727.27943208,1509.3457943925
200.1376256872,1714.3528479944
22186.2926406852,2842.6371528633
41661.9543554087,2845.2605817716
20951.2050234441,2939.2632864127
201139.790907307,3066.7304502078
3969.4551027147,3121.350240078
1296607.75722232,3210.2803738318
1396299.07373743,3295.1261709618
3384.0333086927,3621.270852838
